"","X.Intercept.","ba_scaled","Block","canopy_scaled","slope_scaled","year","df","logLik","AICc","delta","weight"
"32",0.0416992485524869,0.146163085086382,"+",0.12269957195679,-0.0905542820208566,"+",8,-712.558609527499,1441.40812814591,0,0.318415206558156
"16",0.120520208975695,0.146163085086381,"+",0.122699571956797,-0.0905542820208498,NA,5,-715.777154457853,1441.67479084342,0.266662697510583,0.278669046197168
"24",-0.0156724164573598,0.145017982540349,"+",0.120598686438568,NA,"+",7,-714.087633053915,1442.40107255944,0.992944413536407,0.193811106200792
"8",0.0631485439658476,0.145017982540348,"+",0.120598686438575,NA,NA,4,-717.30617798427,1442.69251628918,1.28438814327615,0.167529949871173
"28",0.0897638159110037,0.170909662024453,"+",NA,-0.0866393666679317,"+",7,-716.802478940215,1447.83076433204,6.42263618613651,0.0128332328028684
"12",0.168584776334225,0.17090966202445,"+",NA,-0.08663936666792,NA,4,-720.02102387057,1448.12220806178,6.71407991587557,0.0110930219134242
"20",0.034014938959019,0.169704354459603,"+",NA,NA,"+",6,-718.183235614602,1448.53548531371,7.12735716780571,0.00902210455865174
"4",0.112835899382239,0.169704354459603,"+",NA,NA,NA,3,-721.401780544957,1448.85156108991,7.44343294400733,0.0077032301440123
"31",0.0550450894683579,NA,"+",0.162391432117116,-0.0862001410854054,"+",7,-720.578164214654,1455.38213488092,13.9740067350149,0.000294155377783207
"15",0.133866049891565,NA,"+",0.162391432117127,-0.0862001410853977,NA,4,-723.796709145011,1455.67357861066,14.2654504647571,0.000254267346491692
"23",-0.000211001364572975,NA,"+",0.160698095329604,NA,"+",6,-721.985174554224,1456.13936319295,14.7312350470484,0.000201440482909146
"7",0.0786099590586287,NA,"+",0.160698095329617,NA,NA,3,-725.203719484579,1456.45543896916,15.0473108232511,0.000171993395784934
"27",0.127176894235623,NA,"+",NA,-0.0815294775650037,"+",6,-728.429754687579,1469.02852345966,27.6203953137585,3.20111416963716e-07
"11",0.205997854658847,NA,"+",NA,-0.0815294775649877,NA,3,-731.648299617934,1469.34459923587,27.9364710899617,2.73316707932714e-07
"19",0.0742302140708297,NA,"+",NA,NA,"+",5,-729.668894735388,1469.45827139849,28.0501432525805,2.5821566427676e-07
"3",0.153051174494053,NA,"+",NA,NA,NA,2,-732.887439665738,1469.79883142728,28.3907032813781,2.17786479155427e-07
"26",0.360983945148796,0.154297565427345,NA,NA,-0.283310341220686,"+",6,-730.214255089182,1472.59752426287,31.1893961169646,5.37405969695424e-08
"10",0.439804905572016,0.154297565427342,NA,NA,-0.283310341220671,NA,3,-733.432800019538,1472.91360003908,31.5054718931692,4.58846584897314e-08
"30",0.360017819179559,0.143568125802547,NA,0.0478448761319038,-0.298683209844807,"+",7,-729.462499427749,1473.15080530711,31.7426771612045,4.07529483608277e-08
"14",0.438838779602772,0.143568125802544,NA,0.0478448761319057,-0.298683209844795,NA,4,-732.681044358104,1473.44224903685,32.0341208909422,3.5226770693552e-08
"29",0.370166187078032,NA,NA,0.0846995952166721,-0.290163114375995,"+",6,-737.17540159164,1486.51981726779,45.1116891218812,5.09465726301954e-11
"13",0.448987147501242,NA,NA,0.0846995952166736,-0.290163114375983,NA,3,-740.393946521995,1486.83589304399,45.427764898084,4.34990718038695e-11
"25",0.373248480594497,NA,NA,NA,-0.260628675189492,"+",5,-739.692925431406,1489.50633279052,48.0982046446172,1.14446197273513e-11
"9",0.452069441017717,NA,NA,NA,-0.260628675189475,NA,2,-742.911470361762,1489.84689281933,48.4387646734265,9.65271972426369e-12
"18",0.398374867897724,0.11906027822922,NA,NA,NA,"+",5,-758.788613932674,1527.69770979306,86.2895816471535,5.82705641310091e-20
"22",0.397330372890334,0.132237277562365,NA,-0.0472273132544612,NA,"+",6,-757.928315839912,1528.02564576433,86.6175176184249,4.94582597660518e-20
"2",0.477195828320927,0.119060278229219,NA,NA,NA,NA,2,-762.00715886303,1528.03826982187,86.630141675962,4.91470609886077e-20
"6",0.476151333313542,0.132237277562364,NA,-0.0472273132544605,NA,NA,3,-761.146860770268,1528.34172154054,86.9335933946304,4.2228324336383e-20
"17",0.405465108108174,NA,NA,NA,NA,"+",4,-764.601714364178,1537.283589049,95.8754609030916,4.82949799490952e-22
"1",0.484286068531386,NA,NA,NA,NA,NA,1,-767.820259294532,1537.64848671655,96.2403585706475,4.02406945840545e-22
"21",0.405404698319836,NA,NA,-0.0109356645942347,NA,"+",5,-764.551692227644,1539.223866383,97.8157382370935,1.83052692114632e-22
"5",0.484225658743044,NA,NA,-0.0109356645942343,NA,NA,2,-767.770237158,1539.56442641181,98.1562982659018,1.54391877917312e-22
